key_words,facts,image
метро,"Казань — единственный город России, в котором после распада СССР был построен метрополитен. Сегодня является одной из самых красивых подземок страны.",https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_(%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D1%8F_%D0%BC%D0%B5%D1%82%D1%80%D0%BE)#/media/%D0%A4%D0%B0%D0%B9%D0%BB:Aviatozelesh_qazan_metro.jpg
метро,Метро Казани занесено в Книгу рекордов Гиннеса. Это самое короткое метро в мире. От начала до конца его можно проехать за 10 минут.,https://www.tourprom.ru/site_media/images/upload/2015/10/26/poiphoto/1f66d2ffc1e1_1.jpg
метро,"Первыми официальными пассажирами Казанского метро стали президенты России, Казахстана и Татарстана — Владимир Путин, Нурсултан Назарбаев и Минтимер Шаймиев.",http://static.kremlin.ru/media/events/photos/big2x/0AxIRQzCbsQ5U0AnD8JjDgBrq95SY47u.jpeg
автобус,Казань называют «Городом красных автобусов».,https://realnoevremya.ru/uploads/news/b7/26/5ab224d9089f2be8.jpg
Кремль,«Казанский кремль» является объектом всемирного наследия ЮНЕСКО.,https://fs.tonkosti.ru/3i/ky/3ikye9pbw0ys4o804ss00c88g.jpg
население,В столице Татарстана слились две культуры: почти в равном соотношении: там проживают два крупнейших российских этноса — русские и татары.,https://s017.radikal.ru/i400/1605/ee/b210f9c263f2.jpg
население,"В Казани проживают представители 115 национальностей, что делает ее самым многонациональным городом России. 
",https://s009.radikal.ru/i307/1605/c1/b2696707b5fe.jpg
"Коронованный дракон Зилант, герб","Своё имя дракон Зилант получил от татарского слова елан-джилан (змея). Это имя связано с основанием Казани на месте, где по легенде обитал крылатый змей-дракон.
",https://realnoevremya.ru/uploads/article/87/2a/1a8d00ddbcc70af6.jpg
"Коронованный дракон Зилант, герб",Согласно древней легенде дракон Зилант находится в озере Кабан и охраняет ханские сокровища царицы Сююмбике.,https://cs9.pikabu.ru/post_img/big/2019/05/02/12/1556830001160417986.jpg
Остров-град Свияжск ,"Город-крепость Свияжск на острове в 30 км от Казани, был построен в 1551 году войсками Ивана Грозного всего за 4 недели.",https://vodohod.com/upload/resize_cache/iblock/d62/1460_630_2/d629f87dce3400a13bad1f2fa9c56827.jpg
«сирота казанская» ,"Иван Грозный решил наладить отношения с зажиточными и влиятельными татарами. Многие из них, дабы получить от царя больше, плакались и придумывали истории о невероятном ущербе для собственного хозяйства, нанесенного русской армией.",http://mtdata.ru/u9/photoBE2A/20376109042-0/original.jpg
Казань,"Екатерина II, посетившая Казань в 1767 году, в одном из своих писем отметила: «Сей город бесспорно первый в России после Москвы... во всем видно, что Казань столица большого царства».",https://tatmitropolia.ru/www/news2015/5/225_595.jpg
Казань,"Колдун посоветовал булгарам построить город там, где без всякого огня будет кипеть врытый в землю котёл с водой. Подобное место было найдено на берегу озера Кабан. На татарском «котёл» назывался «казан». Так пошло имя города Казань.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/CasanTartarorum_by_Olearius.jpg/300px-CasanTartarorum_by_Olearius.jpg
Казань,"Казань основывалась как крепость для обороны границ Булгарского ханства. Для этого нашли место на высоком холме, окружённом с трёх сторон болотами, а с четвёртой — рекой. Сравнивая расположение крепости с Казаном (котёл для плова).",https://kpfu.ru/portal/docs/F406544107/muzurovskie.nomera.jpg
Казань,"Алтынбек, старший сын булгарского хана Габдуллы, как-то решил разбить стоянку на берегу неизвестной реки. Он послал слугу за водой с золотым котлом. Слуга уронил котёл в воду. Этот случай и дал название реке Казанке, а впоследствии и городу на её берегу.",https://e-kazan.ru/upload/redactor/images/b7ac98e4d49282078441d6d88dce8bbe.jpg
Казань,"Огромное культурное, историческое и природное богатство Татарстана стало основой республиканской туристской программы «Жемчужное ожерелье». Это привлекает в республику массу туристов даже из зарубежных стран.",https://kudabilet.net/wp-content/uploads/2020/11/vecher-vid-na-kazan.jpg
Казань,"В Татарстане свыше 1400 мечетей, самыми крупными являются: Кул Шариф в Казани, Белая в Болгаре и Соборная в Нижнекамске.",https://st2.depositphotos.com/2541009/8106/i/600/depositphotos_81066464-stock-photo-kul-sharif-at-night.jpg
Казань,Столица Татарстана Казань носит звание «третьей столицы России» вполне официально.,https://pix-feed.com/wp-content/uploads/2018/04/22-14-845x321.jpg
Казань,Главным архитектурным символом Казани является легендарная падающая башня Сююмбике.,https://www.orangesmile.com/extreme/img/main/suyumbike-tower_1.jpg
Известные люди,"На месте, где сейчас располагается ресторан и отель ""Перекресток джаза"", 26 августа 1894 года родилась Гала Дали, муза и супруга Сальвадора Дали. ",https://sunmag.me/wp-content/uploads/2019/11/sunmag-0-9.jpg
Известные люди,"Первой чемпионкой Европы по художественной гимнастике, в 1978 году, стала татарка - Галия Шугурова.",https://proza.ru/pics/2017/11/22/856.jpg
Известные люди,"Первым чемпионом России по боксу, в 1915 году, стал татарский боксер - Нурмагомет Алимов, по прозвищу «Кара малай».",https://upload.wikimedia.org/wikipedia/ru/thumb/7/7a/%D0%90%D0%BB%D0%B8%D0%BC%D0%BE%D0%B2_%D0%9D%D1%83%D1%80_%D0%9D%D0%B8%D0%B2%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87.jpg/230px-%D0%90%D0%BB%D0%B8%D0%BC%D0%BE%D0%B2_%D0%9D%D1%83%D1%80_%D0%9D%D0%B8%D0%B2%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87.jpg
Известные люди,"Для русских поэт номер один – это Пушкин. Для татар это Габдулла Тукай – татарский народный поэт, литературный критик, публицист и переводчик.",https://s3-eu-west-1.amazonaws.com/media.agentika.com/user/ca713360-4d51-4568-93be-96d789229df2.jpeg
Храм всех религий,"Храм всех религий. Здесь соседствуют 16 различных цивилизаций и религий. Храм – своеобразный музей, службы здесь не проводятся.",https://2fruit.nethouse.ru/static/img/0000/0007/0142/70142591.li0b9z82q5.W665.jpg
Сабантуй,"Сабантуй - ежегодный праздник плуга, символизирующий окончание весенних посевных работ, до сих пор остается важной традицией татар. Кульминация торжества — проведение соревнований, игр или скачки на лошадях.",https://static1-repo.aif.ru/1/35/415142/29de52c1d34173c40d094dc4de1fb6e4.jpg
Традиции,"Кияу пельмэне - это маленькие пельмешки для жениха и его семьи, приготовленные невесткой, и то, насколько маленькими получались пельмени, показывало, насколько заботливой хозяйкой она будет. Каждая пельмешка должна была пройти через обручальное кольцо.",http://mtdata.ru/u24/photoA05F/20458415255-0/original.jpg
Традиции,"После свадьбы свекровь кладет под ноги невестки подушку, чтобы она была такой же нежной и мягкой по отношению к новой семье. С помощью этого обряда мама жениха хочет сохранить тишину и покой в доме. ",http://islamnur.ru/wp-content/uploads/2019/01/546e2908ad3e81416505608567.jpg
Традиции,"В традиционных татарских семьях девочек до сих пор с самого раннего детства учат вести хозяйство, приобщают к приготовлению национальных блюд, подготавливают к вступлению в брак.",https://www.tatar-inform.ru/upload/image/2017/08/30/0568.jpg
Традиции,"Чак-чак — это символ солнца и гостеприимства, которым татары до сих пор угощают гостей. Мука, масло, яйца, молоко и мед — все, что нужно для вкусного чак-чака.
",https://sputnik.kg/images/104031/16/1040311624.jpg
Традиции,"По традиции татар любого человека, пришедшего в дом, надо накормить, но при этом трапеза может ограничиться бесконечно длинным чаепитием с подачей сладостей и выпечки",https://www.tea-terra.ru/wp-content/uploads/2018/11/2018_11_11_04_001.jpg
Традиции,Из-за чрезвычайной оригинальности татарские свадьбы даже выделяются в особую категорию.,https://islamnur.ru/wp-content/uploads/2020/06/%D0%BD%D0%B8%D0%BA%D0%B0%D1%85-870x400.jpg
Факты,"Поцелуй, который мы в настоящее время называем «французским», носил название в Древней Руси «татарского». ",https://news.store.rambler.ru/img/eb2b8f4f4af61d130299e238bb624619?img-1-resize=width%3A1280%2Cheight%3A1280%2Cfit%3Acover&img-format=auto
Факты,Жители Татарстана при желании могут получать российские паспорта чуть другого образца. Они дополнены информацией на татарском языке и украшены гербом республики.,https://realnoevremya.ru/uploads/news/58/34/c7ca7dc6a7c0324d.jpg
Факты,Популярный соус тартар во многих странах Европы называется татарским.,https://s1.eda.ru/StaticContent/Photos/150626190443/161116165725/p_O.jpg
Факты,"Японцы когда говорят о чём-то важном и значительном, решающем используют выражение – «татарская поступь» (вариант – «татарский шаг»).",https://lh3.googleusercontent.com/proxy/kSUpCkfuEzDn-PUD9pxt_FnNFORIHpytTNh8yqGUK_fjb_7rvICdAkISnipNIb7j3IAlMS-GMx-CtaT5rh_x0mgu4P6y6LfwdqQj2hYYg-UN8sAP2sxKnCpHZ48XFljFs_k
Факты,"Англичане описывая столкновение с более могущественным, чем они сами, противником, иногда употребляют фразу «нарваться на татарина».",https://i.pinimg.com/originals/36/55/30/36553009b5f350d89bd69956782f92d0.jpg
Факты,Упрямого подростка англичане могут назвать «татарчонком».,https://lh3.googleusercontent.com/proxy/ZEQBxPY3_Pz9TPsEdj4JFiq41CLgQeg8J98W-E3q2FKbAUicnk61fz8klFWsqjLSM2kSHzGzq_rutgF_15d4FuiQkASYLgYIjiXHWO_3DfsIqk1rClIcG_Bc9B9QS-xxQAOhCiY-WqZQCA
Факты,"Такое «неотъемлемо-русское» слово, как «ура», восходит к татарскому «ур», то есть, дословно «атакуй, бей, нападай».",https://happypik.ru/wp-content/uploads/2019/11/ura38.jpg
Факты,Крупнейшее в России и одно из крупнейших в мире месторождений нефти в мире находится именно в Татарстане.,https://s0.rbk.ru/v6_top_pics/media/img/9/34/754760917374349.jpg
Факты,В историческом комплексе Великий Болгар находится самый большой Коран в мире – 800 килограммов!,https://www.evening-kazan.ru/sites/default/files/storyimages/422ae966d5072a9024cbd831ecd2bd29.jpg
Факты,В 1962 году была отпечатана первая книга на татарском языке. Причём произошло это в Германии.,https://tatmsk.tatarstan.ru/file/old/html/002(248).jpg
Факты,"В конце 19-го века в Российской Империи была проведена перепись, по которой население Татарстана оказалось одним из самых грамотных на всех российских просторах.",https://tatfrontu.ru/gallery2/d/89425-2/top_182.jpg
Факты,"Более трети территории здесь занимают чернозёмные почвы, что делает Татарстан одним из самых плодородных субъектов РФ.",https://kazanreporter.ru/uploads/pictures/5b6d53ce8f863.jpg
Факты,"Археологи установили, что предки современных людей жили на территории, занимаемой сейчас Татарстаном, ещё около 100.000 лет назад.",https://www.kazan-guide.ru/wp-content/uploads/2016/04/photo_2016-04-03_19-21-12-1024x768.jpg
Факты,В годы Великой Отечественной на расположенных в Татарстане оборонных заводах было выпущено более 1 млн снарядов для знаменитых «Катюш».,https://tatfrontu.ru/gallery2/d/89536-2/fabrika-spartak.jpg
Факты,"В Японии самурайские мечи до сих пор куют из стали изготавливаемой по технологии Tatara, которая была завезена в страну восходящего солнца татарами, предположительно, в VII веке.",https://24tv.ua/resources/photos/news/1200x675_DIR/202011/1461334_14704810.jpg?202011105010
Факты,По территории Республики Татарстан протекают две самых крупные реки восточной Европы: Волга и Кама.,https://cs7.pikabu.ru/post_img/big/2018/07/16/5/1531723986145675721.jpg
Факты,"Татарстан остается единственной национальной Республикой, сохранившей за собой право именовать своего главу президентом.",https://img.gazeta.ru/files3/285/13090285/TASS_21491338-pic4_zoom-1500x1500-91986.jpg
Факты,"В Татарстане существует свои (татарские) Дед Мороз и Снегурочка - Кыш Бабай и Кар Кызы, со своей резиденцией в селе Яна Кырлай.",https://kanikuli.ru/data/places/521/2673.jpg
Факты,В середине 2014 года Татарстан обзавелся своим доменом верхнего уровня - .tatar.,https://s0.rbk.ru/v6_top_pics/media/img/4/81/754383357690814.jpg
Факты,Государственный архитектурно-исторический комплекс Болгар является объектом всемирного наследия ЮНЕСКО.,https://kazantravel.ru/upload/medialibrary/536/belaya-mechet.jpg
Факты,Татарстанское ОАО «КамАЗ» является крупнейшим производителем грузовых автомобилей в России.,https://s0.rbk.ru/v6_top_pics/media/img/4/21/755804892378214.jpeg
Факты,В Татарстане два официальных языка: русский и татарский.,https://avatars.mds.yandex.net/get-zen_doc/1887445/pub_5cfa90157839c500ae766925_5cfa90af2a288b00b0765af2/scale_1200
Температура,"Перепады температуры зимой и летом тут могут достигать 90 градусов. Рекорд жары тут составляет +42 градуса, а холода — целых -48 градусов.
",https://turproezdka.ru/wp-content/uploads/2018/08/pogoda-v-tatarstane.jpg
Голубые озера,"Неподалёку от Казани находятся известные Голубые озёра, комплекс водоёмов разной глубины с целебными водами. Они подпитываются подземными источниками и не замерзают зимой.",http://tur-kazan.ru/web/uploads/5b69a5b3570d6.jpg
КФУ,"В Татарстане находится второй, после МГУ, непрерывно существующий университет России - КФУ.",https://media.kpfu.ru/sites/default/files/2018-10/%D0%9A%D0%A4%D0%A3%20%D1%84%D0%BE%D1%82%D0%BE%D1%81%D1%82%D0%BE%D0%BA.jpg
КФУ,"Университетский сад - один из самых красивых садов Казани. Известно, что в этом саду прогуливались многие знаменитости - например, писатель Дюма во время своего визита в Казань.",https://media.kpfu.ru/sites/default/files/2017-07/20170724_125709_0.jpg
КФУ,"В Казанском государственном университете учился Лев Толстой. Учеба давалась ему трудно, в итоге будущий писатель бросил университет.",https://media.kpfu.ru/sites/default/files/2018-09/08183325.409632.9817_3.jpg 
КФУ,"Многие думают, что Ленин был выпускником Казанского университета, но это не так. Он учился на юридическом факультете, но был отчислен за участие в студенческих беспорядках",https://gallery.ykt.ru/gals/2017/02/10/komuza/2306478_0.jpg
КФУ,Алеша Пешков (будущий известный писатель Максим Горький) приехал в Казань с мечтой поступить в знаменитый университет. Его мечте не суждено было сбыться.,https://aif-s3.aif.ru/images/015/108/b9a9a20bacb8f16193990d002fedf3d4.jpg
КФУ,В казанском университете преподавал и руководил основатель неевклидовой геометрии и выдающий математик - Николай Иванович Лобачевский.,https://kpfu.ru/portal/docs/F_1918138906/561.jpg
КФУ,"Скамейка напротив главного зданий университета среди студентов зовется ""сковородой"". Традиционное место встреч.",https://media.kpfu.ru/sites/default/files/2018-10/%D0%9A%D0%A4%D0%A3%20%D1%84%D0%BE%D1%82%D0%BE%D1%81%D1%82%D0%BE%D0%BA.jpg
КФУ,Научная библиотека им. Н.И. Лобачевского - одна из крупнейших и старейших библиотек России. ,https://lh3.googleusercontent.com/proxy/O6Dzzdq5nJqGK7jIVXpNKsE2UkohjORj3xWbViIYuYaYVuPfWhDP5MC1dhF8dfEQzfP9L4S5vmZbD4cH_71ihFDnXRA6wJtRSG-bDQli0Gg6FA